Count of cars.make,,,,
score,cars.make,cars.model,cars.distance,Total
,,,0.805736987,1
,,,1.978525297,1
,,,8.699491235,1
0.594183299,,,,1
,nissan,,,1
,,juke,,1
,,,1.092038614,1
0.594170678,,,,22
,fiat,,,22
,,500,,22
,,,0.521249105,1
,,,0.661622359,1
,,,0.746073086,1
,,,0.862694894,1
,,,0.974595713,1
,,,1.229935558,1
,,,1.231811504,1
,,,1.545264349,1
,,,1.606721703,1
,,,1.749148659,1
,,,1.891754407,1
,,,1.992904346,1
,,,2.005445556,1
,,,2.126163532,1
,,,2.259728607,1
,,,2.287795162,1
,,,2.323335478,1
,,,2.584154313,1
,,,2.827924405,1
,,,9.689095867,1
,,,10.6982061,1
,,,11.14040179,1
0.593990668,,,,6
,mini,,,6
,,cooper,,6
,,,0.151980236,1
,,,0.837757419,1
,,,1.202127014,1
,,,1.361574855,1
,,,2.548727321,1
,,,2.712485904,1
0.593949372,,,,1
,chevrolet,,,1
,,aveo,,1
,,,0.815425037,1
0.592783662,,,,1
,scion,,,1
,,xd,,1
,,,1.81921631,1
0.592450436,,,,2
,honda,,,2
,,fit,,2
,,,1.713672739,1
,,,11.43146643,1
0.59224473,,,,2
,mini,,,2
,,cooper-countryman,,2
,,,0.357261275,1
,,,0.805518585,1
0.592131673,,,,1
,kia,,,1
,,soul,,1
,,,0.811137072,1
0.592051015,,,,2
,mini,,,2
,,cooper-countryman,,2
,,,2.230433849,1
,,,12.16455295,1
0.591882457,,,,4
,volkswagen,,,4
,,golf-gti,,4
,,,0.996935297,1
,,,2.806832047,1
,,,3.54608644,1
,,,11.46356463,1
0.591236194,,,,1
,ford,,,1
,,fiesta,,1
,,,0.844640741,1
0.590504511,,,,1
,fiat,,,1
,,500x,,1
,,,11.25183753,1
0.589914712,,,,1
,hyundai,,,1
,,elantra-gt,,1
,,,0.60793581,1
0.589879605,,,,4
,mini,,,4
,,cooper,,4
,,,2.166019288,1
,,,2.196157834,2
,,,2.676706472,1
0.589243839,,,,1
,scion,,,1
,,xd,,1
,,,2.021520878,1
0.587750204,,,,1
,volkswagen,,,1
,,beetle,,1
,,,1.745152558,1
0.587666657,,,,1
,kia,,,1
,,soul,,1
,,,0.810000487,1
0.584686492,,,,2
,fiat,,,2
,,500l,,2
,,,1.496328283,1
,,,2.259728607,1
0.58403869,,,,5
,mini,,,5
,,cooper,,5
,,,1.794437368,1
,,,2.619836035,1
,,,3.222810311,1
,,,3.897656766,1
,,,11.1211531,1
0.581553037,,,,4
,mini,,,4
,,cooper,,4
,,,1.041175844,1
,,,1.97881585,1
,,,2.265552797,1
,,,2.593067953,1
0.58144337,,,,1
,volkswagen,,,1
,,golf,,1
,,,1.175365789,1
0.58119812,,,,1
,hyundai,,,1
,,veloster,,1
,,,0.943112462,1
0.580750586,,,,2
,mazda,,,2
,,mx-5-miata,,2
,,,2.52533296,1
,,,4.35655877,1
0.58064126,,,,2
,honda,,,2
,,element,,2
,,,1.716376439,1
,,,9.492077158,1
0.57979008,,,,1
,chevrolet,,,1
,,aveo,,1
,,,2.259728607,1
0.578342594,,,,2
,honda,,,2
,,hr-v,,2
,,,2.173664309,1
,,,10.99290344,1
0.578131368,,,,1
,chrysler,,,1
,,pt-cruiser,,1
,,,11.18203282,1
0.577130735,,,,1
,volkswagen,,,1
,,beetle,,1
,,,0.984449277,1
0.577101437,,,,1
,honda,,,1
,,element,,1
,,,2.584154313,1
0.576934554,,,,1
,jeep,,,1
,,renegade,,1
,,,1.366530329,1
0.575377061,,,,1
,volkswagen,,,1
,,gti,,1
,,,0.984449277,1
0.574557522,,,,1
,volkswagen,,,1
,,golf,,1
,,,2.632357795,1
0.572761885,,,,6
,scion,,,6
,,xb,,6
,,,0.820400492,1
,,,1.02293078,1
,,,2.050133279,1
,,,3.356627096,1
,,,4.169474996,1
,,,9.882996665,1
0.571399129,,,,1
,mini,,,1
,,cooper-coupe,,1
,,,2.409990882,1
0.568673226,,,,1
,volkswagen,,,1
,,new-beetle,,1
,,,10.58374097,1
0.568640667,,,,2
,audi,,,2
,,a3,,2
,,,2.240153859,1
,,,2.272348871,1
0.568059271,,,,1
,volkswagen,,,1
,,beetle-convertible,,1
,,,2.265325553,1
0.567477876,,,,1
,volkswagen,,,1
,,rabbit,,1
,,,1.956007581,1
0.567456269,,,,2
,volkswagen,,,2
,,new-beetle,,2
,,,1.992856896,1
,,,11.21095791,1
0.567284078,,,,5
,volkswagen,,,5
,,gti,,5
,,,0.742255156,1
,,,1.336656395,1
,,,1.607993241,1
,,,1.686472244,1
,,,2.290098579,1
0.566384504,,,,1
,jeep,,,1
,,wrangler,,1
,,,0.727412582,1
0.565803109,,,,2
,jeep,,,2
,,wrangler,,2
,,,1.744001191,1
,,,1.826098131,1
0.564717547,,,,1
,bmw,,,1
,,z4,,1
,,,2.362732745,1
0.563744255,,,,1
,volkswagen,,,1
,,gti,,1
,,,10.89038812,1
0.563641353,,,,2
,bmw,,,2
,,z4,,2
,,,1.495292421,1
,,,2.05939375,1
0.562478562,,,,1
,nissan,,,1
,,370z,,1
,,,2.569121569,1
0.561897167,,,,1
,bmw,,,1
,,z4,,1
,,,0.915240708,1
0.561561021,,,,1
,bmw,,,1
,,z4,,1
,,,0.941465479,1
0.560057944,,,,2
,jeep,,,2
,,wrangler,,2
,,,2.230201783,1
,,,2.401882298,1
0.556849503,,,,2
,mercedes-benz,,,2
,,slk-class,,2
,,,2.259728607,1
,,,9.414264124,1
0.554459601,,,,1
,nissan,,,1
,,350z,,1
,,,2.501837564,1
0.547805896,,,,1
,suzuki,,,1
,,reno,,1
,,,0.78010522,1
0.524806202,,,,1
,audi,,,1
,,a3-sportback-e-tron,,1
,,,2.28196947,1
0.339647543,,,,2
,tesla,,,2
,,model-s,,2
,,,2.887406884,1
,,,3.653197271,1
0.33610772,,,,8
,tesla,,,8
,,model-s,,8
,,,1.988880907,1
,,,2.124129151,1
,,,2.176094515,1
,,,2.259728607,1
,,,2.548727321,1
,,,2.555095958,1
,,,2.830270522,1
,,,2.90546147,1
0.314868782,,,,3
,tesla,,,3
,,model-s,,3
,,,1.121546495,1
,,,1.885795589,1
,,,2.915980077,1
0.285800411,,,,1
,toyota,,,1
,,rav4-ev,,1
,,,11.34193574,1
0.188555601,,,,7
,toyota,,,7
,,prius,,7
,,,0.126900881,1
,,,0.145968243,1
,,,1.87478524,1
,,,1.896093941,1
,,,8.643679874,1
,,,10.84207808,1
,,,11.01815091,1
0.184199001,,,,111
,toyota,,,111
,,prius,,111
,,,0.083516043,1
,,,0.337049948,1
,,,0.359153276,1
,,,0.359708347,1
,,,0.747119295,1
,,,0.771070763,1
,,,0.822334919,1
,,,0.831534231,1
,,,0.832816453,1
,,,0.860850554,1
,,,0.888325164,1
,,,0.955310455,1
,,,1.00905146,1
,,,1.015504663,1
,,,1.104934723,1
,,,1.108387889,1
,,,1.182345697,1
,,,1.21904013,1
,,,1.222754191,2
,,,1.239444006,1
,,,1.247055367,1
,,,1.267984458,1
,,,1.341653207,1
,,,1.346011685,1
,,,1.420236606,1
,,,1.424620014,1
,,,1.440098711,1
,,,1.463072309,1
,,,1.486825479,1
,,,1.553693147,1
,,,1.604395256,1
,,,1.611141912,1
,,,1.651021015,1
,,,1.652669927,1
,,,1.680191177,3
,,,1.70405751,1
,,,1.725196012,1
,,,1.823754803,1
,,,1.838521363,2
,,,1.842501757,1
,,,1.845075278,1
,,,1.887276224,2
,,,1.933118088,1
,,,1.95200455,2
,,,1.980580415,1
,,,1.992653835,1
,,,1.997454963,1
,,,2.006810871,1
,,,2.050133279,1
,,,2.056631931,2
,,,2.065176569,1
,,,2.077802723,1
,,,2.085784666,2
,,,2.108958436,1
,,,2.157785671,1
,,,2.199563205,1
,,,2.230433849,1
,,,2.26896494,1
,,,2.28196947,1
,,,2.375462706,1
,,,2.378881282,1
,,,2.379781223,1
,,,2.409990882,2
,,,2.510796643,2
,,,2.512321189,1
,,,2.593067953,2
,,,2.621150923,2
,,,2.661035334,1
,,,2.686249445,1
,,,2.689541976,1
,,,2.744519861,1
,,,2.770467,1
,,,2.809066821,1
,,,2.853394935,1
,,,2.858916173,1
,,,2.915980077,1
,,,2.94676582,1
,,,2.96460101,1
,,,3.226645117,1
,,,3.297912768,1
,,,3.379637791,1
,,,3.565261289,1
,,,9.168550358,1
,,,9.17867458,1
,,,9.966724209,2
,,,10.14507384,1
,,,10.50807055,1
,,,10.79154329,1
,,,11.0859335,1
,,,11.09532561,1
,,,11.11110989,1
,,,11.11866356,1
,,,11.1704344,1
,,,11.22095498,1
,,,11.38045403,2
,,,11.56005664,1
,,,12.04770077,1
0.180710629,,,,35
,toyota,,,35
,,prius,,35
,,,0.253592798,1
,,,0.396087573,1
,,,0.489116246,1
,,,0.5523058,1
,,,0.664582773,1
,,,0.726615363,1
,,,0.749718105,1
,,,0.764254714,1
,,,0.869596716,1
,,,0.872118176,1
,,,0.964619696,1
,,,1.004795358,1
,,,1.039142593,1
,,,1.219225542,1
,,,1.403309211,1
