"","cars.year","count"
"1",2015,265
"2",2013,204
"3",2014,162
"4",2012,145
"5",2016,125
"6",2011,92
"7",2008,83
"8",2010,80
"9",2009,69
"10",2006,60
"11",2007,56
"12",2005,37
"13",2004,15
"14",2017,8
"15",2002,4
"16",2003,4
