Top 10 Vehicles by Make,,
,cars.make,count
1,toyota,389
2,honda,139
3,smart,114
4,ford,101
5,audi,70
6,bmw,66
7,volkswagen,53
8,mini,49
9,scion,46
10,mazda,43
11,nissan,41
12,fiat,39
13,subaru,35
14,chevrolet,31
15,hyundai,25
16,mercedes-benz,24
17,jeep,20
18,lexus,17
19,kia,16
20,acura,13
21,tesla,13
22,volvo,11
23,dodge,10
24,infiniti,8
25,porsche,8
26,chrysler,5
27,gmc,5
28,land-rover,5
29,mitsubishi,5
30,mercury,2
31,suzuki,2
32,buick,1
33,cadillac,1
34,lincoln,1
35,ram,1
