"","styles.id","styles.drivewheels","styles.doors","categories.market","categories.vehiclesize","categories.vehiclestyle","engine.cylinder","engine.horsepower","engine.torque"
"74","100764174","rear wheel drive","2","N/A","Compact","Regular Cab Pickup","4","185","190"
"75","100949597","rear wheel drive","2","N/A","Compact","Regular Cab Pickup","4","185","190"
"76","200424066","front wheel drive","4","N/A","Midsize","Sedan","4","138","148"
"77","101379654","front wheel drive","4","Diesel","Midsize","Sedan","4","148","258"
"78","200492974","front wheel drive","4","N/A","Midsize","Sedan","4","153","177"
"79","200745925","front wheel drive","4","N/A","Midsize","Sedan","4","138","125"
"80","101349884","front wheel drive","4","Crossover","Compact","4dr SUV","4","182","172"
"81","101395754","front wheel drive","4","Crossover","Compact","4dr SUV","4","182","172"
"82","101327237","front wheel drive","4","N/A","Midsize","Sedan","4","169","160"
"83","200697538","front wheel drive","4","N/A","Midsize","Sedan","4","196","191"
"84","101020816","front wheel drive","4","Hybrid","Midsize","Sedan","4","164","159"
"85","200747326","front wheel drive","4","N/A","Midsize","Sedan","4","197","191"
"86","100380630","rear wheel drive","2","Flex Fuel","Large","Regular Cab Pickup","6","195","260"
"87","101286102","front wheel drive","4","N/A","Compact","Sedan","4","138","125"
"88","200429482","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","138","125"
"89","200478071","front wheel drive","4","N/A","Compact","Sedan","4","138","125"
"90","200475684","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","84","83"
"91","200731220","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","98","94"
"92","200424007","front wheel drive","4","Hatchback,Hybrid","Compact","4dr Hatchback","0","149","273"
"93","200485728","front wheel drive","4","Hatchback,Hybrid","Compact","4dr Hatchback","0","149","273"
"94","200704092","front wheel drive","4","Hatchback,Hybrid","Compact","4dr Hatchback","0","149","273"
"95","200437793","front wheel drive","2","Flex Fuel","Midsize","Convertible","4","173","166"
"96","101068494","front wheel drive","4","N/A","Compact","Wagon","4","150","165"
"97","100804596","front wheel drive","4","Flex Fuel","Midsize","Sedan","4","172","165"
"98","101204794","front wheel drive","4","Flex Fuel","Midsize","Passenger Minivan","6","175","205"
"99","200704318","front wheel drive","4","Flex Fuel","Midsize","Passenger Minivan","6","283","260"
"100","100385376","front wheel drive","4","N/A","Large","Cargo Minivan","6","180","210"
"101","100578150","rear wheel drive","4","N/A","Compact","Extended Cab Pickup","6","210","235"
"102","200439582","rear wheel drive","4","Crossover,Flex Fuel,Performance","Large","4dr SUV","6","290","260"
"103","100385379","front wheel drive","4","Flex Fuel","Large","Cargo Minivan","6","180","210"
"104","100803079","front wheel drive","4","Flex Fuel","Midsize","Cargo Minivan","6","170","200"
"105","100973340","front wheel drive","4","Crossover","Midsize","4dr SUV","4","173","166"
"106","100401305","rear wheel drive","2","Factory Tuner,High-Performance","Large","Regular Cab Pickup","10","500","525"
"107","100593572","rear wheel drive","2","Flex Fuel","Large","Regular Cab Pickup","6","215","235"
"108","100811023","rear wheel drive","2","Flex Fuel","Large","Regular Cab Pickup","6","215","235"
"109","101061284","rear wheel drive","2","Flex Fuel","Large","Regular Cab Pickup","6","210","235"
"110","101235876","front wheel drive","2","Hatchback","Compact","2dr Hatchback","4","101","98"
"111","200440780","front wheel drive","2","Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback","4","160","170"
"112","200493795","front wheel drive","2","Hatchback","Compact","2dr Hatchback","4","101","98"
"113","200700813","front wheel drive","2","Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback","4","160","170"
"114","200461885","front wheel drive","4","N/A","Compact","Wagon","4","160","184"
"115","200721407","front wheel drive","4","Crossover","Compact","4dr SUV","4","160","184"
"116","200493193","front wheel drive","4","Hybrid","Compact","Wagon","4","188","129"
"117","200741404","front wheel drive","4","Hybrid","Compact","Wagon","4","188","129"
"118","101251407","rear wheel drive","3","Flex Fuel","Midsize","Cargo Van","8","225","286"
"119","101016618","rear wheel drive","3","N/A","Midsize","Cargo Van","8","225","286"
"120","101159220","front wheel drive","4","Crossover","Midsize","4dr SUV","6","265","250"
"121","100375993","front wheel drive","4","Crossover","Compact","4dr SUV","4","153","152"
"122","101321789","front wheel drive","4","Crossover","Compact","4dr SUV","4","171","171"
"123","101351631","front wheel drive","4","Crossover","Compact","4dr SUV","4","171","171"
"124","101388389","front wheel drive","4","Crossover","Compact","4dr SUV","4","168","170"
"125","200702167","front wheel drive","4","Crossover","Compact","4dr SUV","4","168","170"
"126","100531498","front wheel drive","4","Crossover,Hybrid","Compact","4dr SUV","4","155","124"
"127","101020574","front wheel drive","4","Crossover,Hybrid","Compact","4dr SUV","4","177","136"
"128","101175831","front wheel drive","4","Crossover,Hybrid","Compact","4dr SUV","4","177","136"
"129","101321952","front wheel drive","4","Crossover,Hybrid","Compact","4dr SUV","4","177","136"
"130","101403354","rear wheel drive","4","Flex Fuel","Large","4dr SUV","8","310","365"
"131","101420021","front wheel drive","4","Crossover,Flex Fuel","Midsize","4dr SUV","6","290","255"
"132","200467051","front wheel drive","4","Crossover,Flex Fuel","Midsize","4dr SUV","6","290","255"
"133","100078156","rear wheel drive","4","N/A","Compact","Crew Cab Pickup","6","210","240"
"134","100903333","rear wheel drive","2","Flex Fuel","Large","Regular Cab Pickup","6","202","260"
"135","101170629","rear wheel drive","2","N/A","Large","Regular Cab Pickup","8","248","294"
"136","200489499","rear wheel drive","4","Flex Fuel","Large","Crew Cab Pickup","6","302","278"
"137","100316712","rear wheel drive","2","N/A","Large","Regular Cab Pickup","6","202","252"
"138","101216523","front wheel drive","4","N/A","Compact","Sedan","4","120","112"
"139","101384659","front wheel drive","4","N/A","Compact","Sedan","4","120","112"
"140","200421600","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","120","112"
"141","200443872","front wheel drive","4","N/A","Compact","Sedan","4","120","112"
"142","200692518","front wheel drive","4","N/A","Compact","Sedan","4","120","112"
"143","200733230","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","120","112"
"144","100989547","front wheel drive","4","Crossover","Large","Wagon","6","262","248"
"145","100924402","front wheel drive","2","N/A","Compact","Coupe","4","140","136"
"146","101033162","front wheel drive","2","N/A","Compact","Coupe","4","140","136"
"147","101169826","front wheel drive","2","N/A","Compact","Coupe","4","140","136"
"148","101310782","front wheel drive","4","N/A","Compact","Sedan","4","140","136"
"149","101286097","front wheel drive","4","Flex Fuel","Compact","Sedan","4","160","146"
"150","200421412","front wheel drive","4","Flex Fuel","Compact","Sedan","4","160","146"
"151","200473296","front wheel drive","4","Hatchback,Flex Fuel","Compact","4dr Hatchback","4","160","146"
"152","200696414","front wheel drive","4","Flex Fuel","Compact","Sedan","4","160","146"
"153","100448663","front wheel drive","4","Crossover","Large","Wagon","6","203","207"
"154","100632728","front wheel drive","4","N/A","Midsize","Sedan","4","160","150"
"155","101138067","front wheel drive","4","N/A","Midsize","Sedan","4","175","172"
"156","101325677","front wheel drive","4","N/A","Midsize","Sedan","4","175","172"
"157","200468413","front wheel drive","4","N/A","Midsize","Sedan","4","175","175"
"158","200697194","front wheel drive","4","N/A","Midsize","Sedan","4","175","175"
"159","200727081","front wheel drive","4","N/A","Midsize","Sedan","4","175","175"
"160","200696119","front wheel drive","4","Hybrid","Midsize","Sedan","4","188","129"
