"","document.id","styles.id","styles.trim","styles.drivewheels","styles.doors","categories.market","categories.epaclass","categories.vehiclesize","categories.bodytype","categories.vehiclestyle","categories.vehicletype","engine.cylinder","engine.displacement","engine.horsepower","engine.rpm.hp","engine.torque","engine.rpm.tq"
"431",1,"401575890","Hybrid","all wheel drive","4","Crossover,Hybrid","Small Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","1995","160","6000","163","2000"
"432",1,"100887235","2.5 X","all wheel drive","4","Crossover","Sport Utility Vehicles","Compact","Car","Wagon","Car","4","2457","173","6000","166","4400"
"433",1,"100992079","2.5X","all wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2457","170","6000","170","4400"
"434",1,"101174022","2.5X","all wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2457","170","6000","170","4400"
"435",1,"101416174","2.5X","all wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2498","170","5800","174","4100"
"436",1,"200689818","2.5i PZEV","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2498","170","5800","174","4100"
"437",1,"200740438","2.0XT Premium","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","1998","250","5600","258","2000"
"438",1,"100796770","2.5 i","all wheel drive","4","N/A","Subcompact Cars","Compact","Car","Sedan","Car","4","2457","173","6000","166","4400"
"439",1,"100903484","2.5i","all wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","2457","170","6000","170","4400"
"440",1,"101296018","2.5i","all wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","2457","170","6000","170","4400"
"441",1,"101378514","2.0i","all wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1995","148","6200","145","4200"
"442",1,"200487684","2.0i PZEV","all wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1995","148","6200","145","4200"
"443",1,"200717213","2.0i Sport Premium PZEV","all wheel drive","4","Hatchback","Small Station Wagons","Compact","Car","4dr Hatchback","Car","4","1995","148","6200","145","4200"
"444",1,"401574187","2.0i Sport Premium PZEV","all wheel drive","4","Hatchback","Small Station Wagons","Compact","Car","4dr Hatchback","Car","4","1995","148","6200","145","4200"
"445",1,"100867917","2.5 I","all wheel drive","4","N/A","Compact Cars","Midsize","Car","Sedan","Car","4","2457","170","6000","170","4400"
"446",1,"100565920","2.5i","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","Car","Wagon","Car","4","2457","175","6000","169","4400"
"447",1,"101016677","2.5i","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","Car","Wagon","Car","4","2457","170","6000","170","4400"
"448",1,"101162054","2.5i","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2457","170","5600","170","4000"
"449",1,"101323930","2.5i","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2457","170","5600","170","4000"
"450",1,"101411116","2.5i","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2457","170","5600","170","4000"
"451",1,"200471866","2.5i","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2498","173","5600","174","4100"
"452",1,"101407259","Premium","all wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","1995","148","6200","145","4200"
"453",1,"200465902","Hybrid","all wheel drive","4","Crossover,Hybrid","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","1995","160","6000","163","2000"
"454",1,"100640227","Base","front wheel drive","4","Hatchback","Compact Cars","Compact","Car","4dr Hatchback","Car","4","1998","126","5600","131","4000"
"455",1,"101413924","Base","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1995","150","6200","140","3500"
"456",1,"101400294","Base","rear wheel drive","4","Exotic,Performance","Large Cars","Large","Car","Sedan","Car","0",NA,NA,NA,NA,NA
"457",1,"200691966","60","rear wheel drive","4","Exotic,Performance","Large Cars","Large","Car","Sedan","Car","0",NA,NA,NA,NA,NA
"458",1,"200725283","85D","all wheel drive","4","Exotic,High-Performance","Large Cars","Large","Car","Sedan","Car","0",NA,NA,NA,NA,NA
"459",1,"200438198","Limited","rear wheel drive","4","N/A","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3956","270","5600","278","4400"
"460",1,"200747159","TRD PRO","four wheel drive","4","N/A","Standard Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3956","270","5600","278","4400"
"461",1,"100330037","LE","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2362","157","5600","162","4000"
"462",1,"100566036","Standard","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2362","154","5700","160","4000"
